Fri Nov 29 23:17:59 2024    profile_output

         10015535 function calls (9984484 primitive calls) in 17.521 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       85    0.001    0.000    0.070    0.001 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1612(_copy_tick_props)
        3    0.000    0.000    0.070    0.023 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:1384(clear)
        3    0.000    0.000    0.070    0.023 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:1257(__clear)
      771    0.003    0.000    0.068    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\markers.py:299(_set_marker)
      546    0.009    0.000    0.066    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:743(draw)
        9    0.000    0.000    0.065    0.007 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:2403(_update_label_position)
      255    0.001    0.000    0.063    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:1337(update_from)
       13    0.000    0.000    0.063    0.005 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\pyplot.py:2740(gca)
       14    0.000    0.000    0.063    0.004 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\figure.py:1646(gca)
1720/1675    0.002    0.000    0.062    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:1209(_internal_update)
       32    0.001    0.000    0.062    0.002 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\spines.py:142(get_window_extent)
1253/1208    0.003    0.000    0.061    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:147(<lambda>)
      309    0.008    0.000    0.060    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:287(__init__)
       98    0.001    0.000    0.058    0.001 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backends\backend_agg.py:186(draw_text)
1253/1208    0.002    0.000    0.058    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:1220(set)
14875/255    0.024    0.000    0.056    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\copy.py:119(deepcopy)
 1020/255    0.006    0.000    0.055    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\copy.py:218(_deepcopy_dict)
     8793    0.020    0.000    0.049    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\copy.py:62(copy)
    10484    0.049    0.000    0.049    0.000 {method 'reduce' of 'numpy.ufunc' objects}
6874/6066    0.007    0.000    0.048    0.000 {built-in method builtins.next}
    18/12    0.000    0.000    0.048    0.004 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:561(__get__)
      227    0.001    0.000    0.047    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:104(__init__)
     1116    0.004    0.000    0.046    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1482(transform)
     3510    0.011    0.000    0.046    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\copy.py:248(_reconstruct)
       33    0.000    0.000    0.044    0.001 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:970(set_tick_params)
     2741    0.003    0.000    0.044    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:906(copy)
        8    0.000    0.000    0.041    0.005 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:3229(grid)
       16    0.000    0.000    0.041    0.003 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1702(grid)
        1    0.000    0.000    0.040    0.040 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\pyplot.py:3541(imshow)
        4    0.000    0.000    0.040    0.010 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\image.py:328(changed)
        4    0.000    0.000    0.039    0.010 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\cm.py:599(changed)
     4291    0.010    0.000    0.039    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:69(_wrapreduction)
        2    0.000    0.000    0.039    0.019 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\image.py:1550(imsave)
   131707    0.039    0.000    0.039    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_type_check_impl.py:84(real)
        2    0.000    0.000    0.039    0.019 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\PIL\Image.py:2518(save)
        2    0.000    0.000    0.038    0.019 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\PIL\PngImagePlugin.py:1300(_save)
        2    0.000    0.000    0.037    0.019 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\PIL\ImageFile.py:535(_save)
        2    0.000    0.000    0.037    0.019 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\PIL\ImageFile.py:563(_encode_tile)
        3    0.037    0.012    0.037    0.012 {method 'encode' of 'ImagingEncoder' objects}
       78    0.002    0.000    0.036    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:651(union)
      311    0.014    0.000    0.036    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:671(recache)
      604    0.025    0.000    0.034    0.000 c:\Users\paulg\Desktop\ESR-Simulation\ESR Examples\..\ESR_STM_SpinSimulation.py:138(calcAngMomMatrices)
